SubjectID,Gender,Timestamp,ADL,YMean,YStd,YMin,YMax,YLength,XMean,XStd,XMin,XMax,XLength,ZMean,ZStd,ZMin,ZMax,ZLength
f1,Female,20110323103918,Standup_chair,38.70059880239521,1.7885680146111806,35,46,167,16.760479041916167,6.638886520115233,11,32,167,40.868263473053894,5.888063173078548,35,53,167
f1,Female,20110323104201,Standup_chair,36.7551867219917,1.6105848013965423,29,41,241,18.016597510373444,8.69001668821722,8,33,241,40.93775933609958,8.061241216990483,32,58,241
f1,Female,20110323104551,Standup_chair,34.766666666666666,3.3739443619321383,30,41,300,19.256666666666668,9.754723864936384,10,36,300,42.50666666666667,6.873191258978416,35,55,300
f1,Female,20110323104759,Standup_chair,36.695238095238096,2.4395512646932596,27,43,315,18.295238095238094,9.104059229239425,7,35,315,40.7015873015873,7.923991869883409,32,54,315
f1,Female,20110324094434,Comb_hair,36.17788461538461,10.425465967817301,0,63,832,31.016826923076923,16.669570063224544,6,63,832,39.52043269230769,7.095332667389704,19,61,832
f1,Female,20110324094936,Standup_chair,33.97604790419162,2.953356464656778,23,37,167,15.892215568862275,6.802754527253603,8,31,167,38.952095808383234,8.651769359559147,24,54,167
f1,Female,20110324095016,Sitdown_chair,33.493506493506494,3.074769247406088,22,44,154,23.974025974025974,7.349312405655526,8,31,154,47.27272727272727,8.769579570692224,24,61,154
f1,Female,20110324095107,Walk,36.75705731394354,2.735641887869156,18,55,1169,12.899059024807528,6.191720676494171,0,38,1169,34.76218990590248,4.2777987708042104,27,52,1169
f1,Female,20110324095211,Walk,37.01151832460733,2.912215525094437,29,54,955,12.460732984293193,5.3673519511405186,0,37,955,34.10785340314136,3.5398141436181367,27,53,955
f1,Female,20110324100432,Pour_water,40.707045735475894,4.723227028579058,29,56,809,28.310259579728058,4.89558358831291,17,40,809,49.34734239802225,2.3243749255976507,38,61,809
f1,Female,20110324100702,Drink_glass,39.65597147950089,6.836169888325059,29,52,561,32.440285204991085,7.170655672646375,18,43,561,48.55258467023173,3.240562878858551,40,63,561
f1,Female,20110324101602,Drink_glass,38.585067319461444,8.36940754319796,25,56,817,36.63647490820073,6.559777264098077,16,44,817,48.004895960832314,3.296236047163987,38,53,817
f1,Female,20110324102402,Descend_stairs,39.60876897133221,3.751854136522146,27,56,593,17.20236087689713,11.039067348755449,0,43,593,36.69814502529511,6.185063738163771,28,60,593
f1,Female,20110324102439,Climb_stairs,36.7360594795539,2.0878649230128623,31,48,269,11.843866171003718,4.976602861563745,0,19,269,33.13011152416357,2.156598773786647,29,40,269
f1,Female,20110324102511,Descend_stairs,38.86303939962477,3.4118881825536524,29,55,533,14.954971857410882,9.329083730018061,0,42,533,35.1219512195122,4.648363195374491,28,52,533
f1,Female,20110324102544,Climb_stairs,36.795539033457246,2.038578161622791,30,44,269,11.851301115241636,4.1627577884450515,0,18,269,32.64312267657993,2.1210914686727618,25,38,269
f1,Female,20110324102633,Comb_hair,35.99048913043478,11.661724906189344,0,63,736,34.82065217391305,15.451144249592312,6,63,736,40.64673913043478,6.554652725008395,16,63,736
f1,Female,20110324102733,Sitdown_chair,36.910780669144984,6.595978743318644,18,55,269,16.762081784386616,5.982802853041454,6,26,269,37.215613382899626,9.004869002957081,20,54,269
